player_id,cricsheet_id,name,machine,profile_status,profile_error,profile_scraped_at,deep_status,deep_error,deep_scraped_at
8173,03b7a465,JR Watkins,1,pending,,,pending,,
1204626,03b9ec54,E Packard,1,pending,,,pending,,
1246479,03be7a88,Kumar Nyompu,1,pending,,,pending,,
1182002,03beb59f,Luis Hermida,1,pending,,,pending,,
726989,03c29939,Sharad Lumba,1,pending,,,pending,,
366592,03c94c2f,J Grzinic,1,pending,,,pending,,
879287,03c98aa6,Ilenia Sims,1,pending,,,pending,,
486997,03cb8ee0,Sultana Yesmin,1,pending,,,pending,,
40113,03ce169b,Faisal Athar,1,pending,,,pending,,
1210903,03ce2270,MA Widanapathirana,1,pending,,,pending,,
18489,03d21723,R Peel,1,pending,,,pending,,
24996,03d3dd8e,AF Buurman,1,pending,,,pending,,
380624,03d70cd8,E Ofem,1,pending,,,pending,,
1390120,03d9e80f,C Henery,1,pending,,,pending,,
1196286,03da3399,T Kazanci,1,pending,,,pending,,
885181,03df7a25,DA Douthwaite,1,pending,,,pending,,
1301601,03ecfde2,Shoaib Khan,1,pending,,,pending,,
1163161,03ef382c,ZE Matsinhe,1,pending,,,pending,,
1273856,03f1a623,Jing Yang,1,pending,,,pending,,
464784,03f59d24,Ruud Kaulingfreks,1,pending,,,pending,,
1430392,03fb10bd,R Shimwamana,1,pending,,,pending,,
352065,03fb73e8,S Nakano,1,pending,,,pending,,
36606,03fdb5b4,RO Collinge,1,pending,,,pending,,
537613,03ff4a44,Salman Hossain,1,pending,,,pending,,
1172332,040206a2,B Frank,1,pending,,,pending,,
220613,04029c44,Munir Dar,1,pending,,,pending,,
536936,0404d43c,Liton Das,1,pending,,,pending,,
1159162,040a03a6,Chen Liang,1,pending,,,pending,,
1080010,040f11e8,V Araa,1,pending,,,pending,,
1450651,0410f8b0,S Willemse,1,pending,,,pending,,
6013,04119c26,BN Jarman,1,pending,,,pending,,
1334320,0420ab58,TO Norton,1,pending,,,pending,,
538598,0420f51f,AG Rao,1,pending,,,pending,,
509627,04213325,Razzak Shah,1,pending,,,pending,,
18625,04268812,RM Prideaux,1,pending,,,pending,,
790393,0429e73e,Izatullah Safi,1,pending,,,pending,,
34685,042a8b69,K Srinivasan,1,pending,,,pending,,
22478,042f6739,MGN Windows,1,pending,,,pending,,
646007,04381402,GJ Gibbs,1,pending,,,pending,,
1030603,0438e291,E Churms,1,pending,,,pending,,
976571,0439b7fb,Bahir Shah,1,pending,,,pending,,
1094352,043e9623,GD Burrows,1,pending,,,pending,,
